Logistic Regression,Random Forest,K-Nearest Neighbors,Support Vector Machine
0.47333333333333333,0.7733333333333332,0.8566666666666667,0.8133333333333332
0.6500893550893551,0.8476893939393939,0.81885101010101,0.882449494949495
0.5864809887272293,0.8179127879221865,0.728240969035142,0.8060751852575161
0.5629180839002268,0.8072782029478457,0.7260459183673469,0.7899149659863944
0.641289824076768,0.8094010169921029,0.7172784951525607,0.7612149203335112
0.6815062303647765,0.8368587248735972,0.7419002885941287,0.8173936752050514
0.5202399714311126,0.8526784912996842,0.80691397988196,0.8382793621839607
0.604869373734725,0.8485735348323125,0.7788741805770119,0.8259050444974413
0.6432015033988562,0.8614004415680349,0.7589753309669467,0.8213149792341665
0.7148507781839959,0.8596311154229943,0.7362324617688397,0.8297909807895228
